course_id,item
1,Conceitos de gestão ambiental
1,Princípios de sustentabilidade
1,Práticas de conservação de recursos naturais
1,Planejamento ambiental em empresas e comunidades
2,Conceitos de gestão ambiental
2,Princípios de sustentabilidade
2,Práticas de conservação de recursos naturais
2,Planejamento ambiental em empresas e comunidades
3,Conceitos de gestão ambiental
3,Princípios de sustentabilidade
3,Práticas de conservação de recursos naturais
3,Planejamento ambiental em empresas e comunidades
4,mn
5,Identificar e aplicar conceitos de sustentabilidade em ambientes corporativos ou comunitários
5,Entender a legislação ambiental e aplicar em decisões práticas
5,Planejar e implementar políticas de gestão ambiental com base em indicadores de desempenho
6,Identificar e aplicar conceitos de sustentabilidade em ambientes corporativos ou comunitários
6,Entender a legislação ambiental e aplicar em decisões práticas
6,Planejar e implementar políticas de gestão ambiental com base em indicadores de desempenho
6,Avaliar impactos ambientais e propor soluções adequadas
7,Avaliar e tratar águas e efluentes com base em normas.
7,Aplicar técnicas de monitoramento e indicadores de qualidade.
